學年度,身分別,男,女,男女合計
102,僑生,685,709,1394
102,港澳生,774,723,1497
102,總計 ,1459,1432,2891
103,僑生,825,896,1721
103,港澳生,975,853,1828
103,總計 ,1800,1749,3549
104,僑生,825,896,1721
104,港澳生,975,853,1828
104,總計 ,1800,1749,3549
105,僑生,803,941,1744
105,港澳生,1115,1076,2191
105,總計 ,1918,2017,3935
106,僑生,1034,1144,2178
106,港澳生,1420,1268,2688
106,總計 ,2454,2412,4866
107,僑生,1102,1249,2351
107,港澳生,1615,1455,3070
107,總計 ,2717,2704,5421
108,僑生,1058,1245,2303
108,港澳生,1504,1141,2645
108,總計 ,2562,2386,4948
109,僑生,1076,1328,2404
109,港澳生,1257,1123,2380
109,總計 ,2333,2451,4784
